ID,TiempoGenerado,TiempoLlegadaCola,TiempoSalida,TiempoServicio
1,0.000,2.450,9.267,3.079
2,0.000,1.383,6.183,4.792
3,0.000,7.050,12.517,3.235
4,0.000,13.383,-1.000,-1.000
5,0.000,-1.000,-1.000,-1.000
6,0.000,3.533,5.883,2.347
7,0.000,15.717,-1.000,-1.000
8,0.000,10.983,15.050,2.524
9,2.933,-1.000,-1.000,-1.000
10,3.383,-1.000,-1.000,-1.000
11,3.783,-1.000,-1.000,-1.000
12,5.400,-1.000,-1.000,-1.000
13,5.667,-1.000,-1.000,-1.000
14,6.767,-1.000,-1.000,-1.000
15,9.533,-1.000,-1.000,-1.000
16,10.067,-1.000,-1.000,-1.000
17,10.517,-1.000,-1.000,-1.000
18,11.517,-1.000,-1.000,-1.000
19,13.650,-1.000,-1.000,-1.000
20,14.967,-1.000,-1.000,-1.000
21,16.050,-1.000,-1.000,-1.000
