ID,TiempoGenerado,TiempoLlegadaCola,TiempoSalida,TiempoServicio
1,0.000,-1.000,-1.000,-1.000
2,0.000,-1.000,-1.000,-1.000
3,0.000,-1.000,-1.000,-1.000
4,0.000,10.517,-1.000,-1.000
5,0.000,-1.000,-1.000,-1.000
6,0.000,5.350,9.200,3.850
7,0.000,10.167,-1.000,-1.000
8,0.000,1.717,3.933,2.208
9,1.883,-1.000,-1.000,-1.000
10,3.767,-1.000,-1.000,-1.000
11,4.233,-1.000,-1.000,-1.000
12,5.767,-1.000,-1.000,-1.000
13,6.517,-1.000,-1.000,-1.000
14,8.567,-1.000,-1.000,-1.000
15,11.467,-1.000,-1.000,-1.000
